"prompt_id","city","practice_area","prompt_text"
"bolton-best","Bolton","conveyancing","Best conveyancing solicitors in Bolton"
"bolton-buy","Bolton","conveyancing","Recommend a solicitor in Bolton for buying a house"
"bolton-rep","Bolton","general","Which solicitors in Bolton have good reputations?"
"bolton-spec","Bolton","personal injury","I need a personal injury solicitor in Bolton — who should I consider?"
"bradford-best","Bradford","conveyancing","Best conveyancing solicitors in Bradford"
"bradford-buy","Bradford","conveyancing","Recommend a solicitor in Bradford for buying a house"
"bradford-rep","Bradford","general","Which solicitors in Bradford have good reputations?"
"bradford-spec","Bradford","criminal law","I need a criminal law solicitor in Bradford — who should I consider?"
"bristol-best","Bristol","conveyancing","Best conveyancing solicitors in Bristol"
"bristol-buy","Bristol","conveyancing","Recommend a solicitor in Bristol for buying a house"
"bristol-rep","Bristol","general","Which solicitors in Bristol have good reputations?"
"bristol-spec","Bristol","litigation","I need a litigation solicitor in Bristol — who should I consider?"
"cardiff-best","Cardiff","conveyancing","Best conveyancing solicitors in Cardiff"
"cardiff-buy","Cardiff","conveyancing","Recommend a solicitor in Cardiff for buying a house"
"cardiff-rep","Cardiff","general","Which solicitors in Cardiff have good reputations?"
"cardiff-spec","Cardiff","conveyancing","I need a conveyancing solicitor in Cardiff — who should I consider?"
"harrow-best","Harrow","conveyancing","Best conveyancing solicitors in Harrow"
"harrow-buy","Harrow","conveyancing","Recommend a solicitor in Harrow for buying a house"
"harrow-rep","Harrow","general","Which solicitors in Harrow have good reputations?"
"harrow-spec","Harrow","immigration","I need a immigration solicitor in Harrow — who should I consider?"
"ilford-best","Ilford","conveyancing","Best conveyancing solicitors in Ilford"
"ilford-buy","Ilford","conveyancing","Recommend a solicitor in Ilford for buying a house"
"ilford-rep","Ilford","general","Which solicitors in Ilford have good reputations?"
"ilford-spec","Ilford","immigration","I need a immigration solicitor in Ilford — who should I consider?"
"leeds-best","Leeds","conveyancing","Best conveyancing solicitors in Leeds"
"leeds-buy","Leeds","conveyancing","Recommend a solicitor in Leeds for buying a house"
"leeds-rep","Leeds","general","Which solicitors in Leeds have good reputations?"
"leeds-spec","Leeds","litigation","I need a litigation solicitor in Leeds — who should I consider?"
"leicester-best","Leicester","conveyancing","Best conveyancing solicitors in Leicester"
"leicester-buy","Leicester","conveyancing","Recommend a solicitor in Leicester for buying a house"
"leicester-rep","Leicester","general","Which solicitors in Leicester have good reputations?"
"leicester-spec","Leicester","family law","I need a family law solicitor in Leicester — who should I consider?"
"liverpool-best","Liverpool","conveyancing","Best conveyancing solicitors in Liverpool"
"liverpool-buy","Liverpool","conveyancing","Recommend a solicitor in Liverpool for buying a house"
"liverpool-rep","Liverpool","general","Which solicitors in Liverpool have good reputations?"
"liverpool-spec","Liverpool","litigation","I need a litigation solicitor in Liverpool — who should I consider?"
"luton-best","Luton","conveyancing","Best conveyancing solicitors in Luton"
"luton-buy","Luton","conveyancing","Recommend a solicitor in Luton for buying a house"
"luton-rep","Luton","general","Which solicitors in Luton have good reputations?"
"luton-spec","Luton","family law","I need a family law solicitor in Luton — who should I consider?"
"newcastle upon tyne-best","Newcastle upon Tyne","conveyancing","Best conveyancing solicitors in Newcastle upon Tyne"
"newcastle upon tyne-buy","Newcastle upon Tyne","conveyancing","Recommend a solicitor in Newcastle upon Tyne for buying a house"
"newcastle upon tyne-rep","Newcastle upon Tyne","general","Which solicitors in Newcastle upon Tyne have good reputations?"
"newcastle upon tyne-spec","Newcastle upon Tyne","litigation","I need a litigation solicitor in Newcastle upon Tyne — who should I consider?"
"norwich-best","Norwich","conveyancing","Best conveyancing solicitors in Norwich"
"norwich-buy","Norwich","conveyancing","Recommend a solicitor in Norwich for buying a house"
"norwich-rep","Norwich","general","Which solicitors in Norwich have good reputations?"
"norwich-spec","Norwich","wills & probate","I need a wills & probate solicitor in Norwich — who should I consider?"
"nottingham-best","Nottingham","conveyancing","Best conveyancing solicitors in Nottingham"
"nottingham-buy","Nottingham","conveyancing","Recommend a solicitor in Nottingham for buying a house"
"nottingham-rep","Nottingham","general","Which solicitors in Nottingham have good reputations?"
"nottingham-spec","Nottingham","litigation","I need a litigation solicitor in Nottingham — who should I consider?"
"preston-best","Preston","conveyancing","Best conveyancing solicitors in Preston"
"preston-buy","Preston","conveyancing","Recommend a solicitor in Preston for buying a house"
"preston-rep","Preston","general","Which solicitors in Preston have good reputations?"
"preston-spec","Preston","personal injury","I need a personal injury solicitor in Preston — who should I consider?"
"sheffield-best","Sheffield","conveyancing","Best conveyancing solicitors in Sheffield"
"sheffield-buy","Sheffield","conveyancing","Recommend a solicitor in Sheffield for buying a house"
"sheffield-rep","Sheffield","general","Which solicitors in Sheffield have good reputations?"
"sheffield-spec","Sheffield","wills & probate","I need a wills & probate solicitor in Sheffield — who should I consider?"
"stockport-best","Stockport","conveyancing","Best conveyancing solicitors in Stockport"
"stockport-buy","Stockport","conveyancing","Recommend a solicitor in Stockport for buying a house"
"stockport-rep","Stockport","general","Which solicitors in Stockport have good reputations?"
"stockport-spec","Stockport","wills & probate","I need a wills & probate solicitor in Stockport — who should I consider?"
"york-best","York","conveyancing","Best conveyancing solicitors in York"
"york-buy","York","conveyancing","Recommend a solicitor in York for buying a house"
"york-rep","York","general","Which solicitors in York have good reputations?"
"york-spec","York","litigation","I need a litigation solicitor in York — who should I consider?"
